logError,type
4.467605550082998,radar
2.6147098441152083,bar
2.6147098441152083,pie
2.357552004618084,radar
3.0223678130284544,bar
1.0874628412503393,bar
1.6438561897747248,pie
2.357552004618084,radar
0,radar
5.810571634741147,bar
2.0443941193584534,bar
2.6147098441152083,radar
2.8328900141647417,pie
3.7142455176661224,pie
3.3398500028846247,radar
3.0223678130284544,bar
2.0443941193584534,pie
1.0874628412503393,radar
2.6147098441152083,pie
0.16992500144231237,radar
0.16992500144231237,radar
2.357552004618084,pie
0.16992500144231237,bar
1.0874628412503393,bar
6.586839787961827,bar
6.493855449240822,radar
6.047123912114026,bar
4.400879436282184,pie
3.599912842187128,pie
4.813781191217037,pie
5.5584207132686645,bar
6.631177055703978,bar
0,radar
2.6147098441152083,pie
2.357552004618084,pie
4.960001932068081,bar
3.189824558880017,radar
3.599912842187128,radar
5.174925682500679,radar
1.0874628412503393,bar
2.8328900141647417,bar
3.189824558880017,pie
3.4757334309663976,radar
3.599912842187128,bar
2.6147098441152083,pie
1.6438561897747248,radar
1.0874628412503393,bar
2.0443941193584534,radar
0.16992500144231237,pie
1.0874628412503393,pie
2.357552004618084,radar
0.16992500144231237,radar
3.3398500028846247,bar
4.7615512324444795,pie
1.0874628412503393,pie
3.599912842187128,bar
0.16992500144231237,pie
2.0443941193584534,pie
3.189824558880017,radar
4.011227255423254,pie
5.495855026887171,pie
4.912889336229962,radar
0,bar
2.0443941193584534,bar
2.6147098441152083,bar
6.047123912114026,radar
6.025139562278508,bar
4.098032082960526,radar
3.7142455176661224,radar
6.250298417906333,radar
2.0443941193584534,pie
4.330916878114617,bar
3.9188632372745946,bar
6.28771237954945,pie
2.6147098441152083,bar
5.618385502258606,pie
5.527477006060396,bar
3.9188632372745946,pie
5.7846348455575205,radar
4.813781191217037,radar
6.172427508645482,radar
5.861086905995394,radar
6.002815015607054,pie
5.005624549193878,bar
1.0874628412503393,pie
1.0874628412503393,bar
2.357552004618084,bar
0.16992500144231237,bar
4.467605550082998,pie
3.820178962415188,pie
1.6438561897747248,pie
2.357552004618084,radar
6.428360172704291,radar
3.820178962415188,radar
2.6147098441152083,radar
3.9188632372745946,radar
1.0874628412503393,bar
2.6147098441152083,bar
0.16992500144231237,pie
1.6438561897747248,radar
5.049848549450561,radar
1.6438561897747248,radar
2.8328900141647417,radar
0,bar
0.16992500144231237,pie
3.9188632372745946,radar
2.6147098441152083,bar
3.9188632372745946,pie
3.3398500028846247,pie
3.3398500028846247,pie
2.0443941193584534,bar
2.357552004618084,bar
2.0443941193584534,bar
2.357552004618084,pie
2.0443941193584534,bar
0,bar
2.0443941193584534,radar
3.189824558880017,pie
2.6147098441152083,pie
5.980139577639157,radar
5.675957032941749,radar
2.0443941193584534,radar
4.651051691178928,radar
3.4757334309663976,pie
3.820178962415188,pie
3.189824558880017,bar
0,bar
0,bar
4.098032082960526,pie
1.6438561897747248,pie
2.0443941193584534,bar
0,radar
2.6147098441152083,pie
2.8328900141647417,bar
3.820178962415188,bar
2.8328900141647417,radar
4.098032082960526,pie
2.357552004618084,bar
2.8328900141647417,radar
0,bar
3.189824558880017,radar
2.8328900141647417,pie
2.6147098441152083,pie
0,radar
0.16992500144231237,radar
2.0443941193584534,radar
1.0874628412503393,radar
1.6438561897747248,bar
1.6438561897747248,pie
0.16992500144231237,bar
1.0874628412503393,pie
0,bar
2.6147098441152083,bar
3.9188632372745946,pie
1.0874628412503393,radar
2.0443941193584534,pie
5.618385502258606,pie
2.0443941193584534,bar
2.357552004618084,radar
