logError,type
0.16992500144231237,bar
6.342074667999139,pie
5.957102041562286,bar
4.813781191217037,radar
6.324180546618741,radar
5.174925682500679,radar
5.618385502258606,radar
6.324180546618741,pie
5.174925682500679,bar
6.231221180711185,bar
5.675957032941749,bar
6.461479447286156,pie
5.5584207132686645,pie
5.252665432450248,radar
5.588714635582264,pie
5.527477006060396,pie
6.541096615349524,bar
5.290018846932618,pie
6.493855449240822,bar
6.509775004326937,pie
4.7615512324444795,pie
6.377210530388552,bar
4.531381460516312,pie
6.411510988012071,radar
6.1318569606087925,radar
5.861086905995394,radar
6.541096615349524,bar
5.909893083770042,radar
6.61654884377899,bar
5.933690654952234,radar
4.912889336229962,radar
0.16992500144231237,bar
3.3398500028846247,pie
6.269126679149418,pie
4.912889336229962,radar
1.0874628412503393,bar
2.0443941193584534,pie
2.357552004618084,pie
3.7142455176661224,pie
3.4757334309663976,radar
1.6438561897747248,bar
0.16992500144231237,radar
2.357552004618084,bar
2.357552004618084,radar
1.0874628412503393,bar
0.16992500144231237,pie
2.357552004618084,pie
1.6438561897747248,bar
1.0874628412503393,radar
2.6147098441152083,bar
3.3398500028846247,bar
1.6438561897747248,bar
2.8328900141647417,pie
0.16992500144231237,pie
0.16992500144231237,radar
4.467605550082998,radar
0.16992500144231237,radar
3.3398500028846247,radar
1.6438561897747248,bar
1.0874628412503393,pie
1.0874628412503393,pie
5.703903573444664,pie
0.16992500144231237,pie
1.6438561897747248,radar
1.6438561897747248,radar
1.6438561897747248,bar
2.0443941193584534,bar
4.011227255423254,radar
2.0443941193584534,bar
2.357552004618084,pie
0.16992500144231237,radar
1.0874628412503393,bar
2.0443941193584534,radar
0,bar
2.6147098441152083,pie
1.0874628412503393,radar
2.0443941193584534,bar
1.0874628412503393,pie
1.0874628412503393,bar
1.6438561897747248,radar
3.0223678130284544,pie
4.098032082960526,pie
1.6438561897747248,pie
1.0874628412503393,radar
2.0443941193584534,pie
2.357552004618084,bar
0,radar
3.7142455176661224,bar
3.7142455176661224,radar
3.7142455176661224,bar
2.357552004618084,pie
3.3398500028846247,bar
3.189824558880017,pie
0.16992500144231237,radar
0.16992500144231237,radar
5.005624549193878,pie
2.8328900141647417,bar
1.0874628412503393,bar
1.0874628412503393,radar
2.6147098441152083,pie
0.16992500144231237,radar
1.6438561897747248,bar
3.820178962415188,pie
2.6147098441152083,radar
3.189824558880017,bar
2.0443941193584534,bar
2.8328900141647417,radar
1.6438561897747248,radar
1.6438561897747248,radar
2.8328900141647417,bar
1.6438561897747248,radar
1.6438561897747248,pie
3.599912842187128,bar
2.357552004618084,pie
1.6438561897747248,pie
3.189824558880017,radar
1.0874628412503393,bar
3.599912842187128,bar
0.16992500144231237,pie
2.6147098441152083,pie
3.599912842187128,bar
3.599912842187128,pie
0,radar
3.7142455176661224,bar
4.011227255423254,pie
4.330916878114617,radar
2.0443941193584534,pie
1.6438561897747248,bar
1.6438561897747248,radar
1.6438561897747248,bar
1.6438561897747248,radar
3.0223678130284544,bar
2.8328900141647417,pie
2.357552004618084,radar
2.0443941193584534,pie
5.2143191208007655,radar
6.1922928144707665,bar
1.0874628412503393,bar
3.4757334309663976,bar
1.6438561897747248,radar
3.7142455176661224,bar
2.357552004618084,pie
4.330916878114617,pie
2.8328900141647417,bar
2.357552004618084,radar
3.3398500028846247,pie
2.0443941193584534,radar
1.0874628412503393,pie
0.16992500144231237,radar
1.0874628412503393,pie
4.011227255423254,radar
3.9188632372745946,radar
2.0443941193584534,pie
4.257387842692652,bar
6.411510988012071,bar
6.0687782779854125,bar
5.675957032941749,radar
6.172427508645482,bar
1.6438561897747248,pie
4.813781191217037,pie
2.6147098441152083,pie
6.541096615349524,bar
6.1318569606087925,radar
1.0874628412503393,radar
0,pie
2.357552004618084,radar
2.8328900141647417,radar
2.6147098441152083,bar
2.6147098441152083,radar
2.357552004618084,bar
3.599912842187128,bar
4.011227255423254,pie
4.400879436282184,pie
3.3398500028846247,bar
2.357552004618084,pie
4.592457037268081,pie
2.8328900141647417,bar
1.6438561897747248,pie
1.0874628412503393,radar
1.6438561897747248,radar
3.3398500028846247,bar
4.592457037268081,pie
2.357552004618084,radar
3.189824558880017,pie
1.0874628412503393,pie
0.16992500144231237,bar
